product,batch,reg,reg_lookup,server_lookup,key,value
pim4,pim,eu-west-1,eu,db,maintwindow-pim-pm4,rebootgroup1-dbonly
pim4,pim,eu-west-1,eu,nondb,maintwindow-pim-pm4,rebootgroup2-nondb
pim5,pim,us-east-1,us,db,maintwindow-pim-pm5,rebootgroup1-dbonly
pim5,pim,us-east-1,us,nondb,maintwindow-pim-pm5,rebootgroup2-nondb
pim5,pim,us-west-2,us,db,maintwindow-pim-pm5,rebootgroup1-dbonly
pim5,pim,us-west-2,us,nondb,maintwindow-pim-pm5,rebootgroup2-nondb
pim6,pim,eu-west-1,eu,db,maintwindow-pim-pm6,rebootgroup1-dbonly
pim6,pim,eu-west-1,eu,nondb,maintwindow-pim-pm6,rebootgroup2-nondb
pim6,pim,eu-central-1,eu,db,maintwindow-pim-pm6,rebootgroup1-dbonly
pim6,pim,eu-central-1,eu,nondb,maintwindow-pim-pm6,rebootgroup2-nondb
pim7,pim,eu-west-1,eu,db,maintwindow-pim-pm7,rebootgroup1-dbonly
pim7,pim,eu-west-1,eu,nondb,maintwindow-pim-pm7,rebootgroup2-nondb
pim7,pim,eu-central-1,eu,db,maintwindow-pim-pm7,rebootgroup1-dbonly
pim7,pim,eu-central-1,eu,nondb,maintwindow-pim-pm7,rebootgroup2-nondb
pim8,pim,us-east-1,us,db,maintwindow-pim-pm8,rebootgroup1-dbonly
pim8,pim,us-east-1,us,nondb,maintwindow-pim-pm8,rebootgroup2-nondb
pim8,pim,us-west-2,us,db,maintwindow-pim-pm8,rebootgroup1-dbonly
pim8,pim,us-west-2,us,nondb,maintwindow-pim-pm8,rebootgroup2-nondb
nc2,dfve,us-east-1,us,db,maintwindow-deltekcrm-nc2,rebootgroup1-dbonly
nc2,dfve,us-west-2,us,db,maintwindow-deltekcrm-nc2,rebootgroup1-dbonly
nc0,dfve,us-east-1,us,db,maintwindow-deltekcrm-nc0,rebootgroup1-dbonly
nc0,dfve,us-west-2,us,db,maintwindow-deltekcrm-nc0,rebootgroup1-dbonly
cm1,dfve,us-east-1,us,db,maintwindow-capture-cm1,rebootgroup1-dbonly
cm1,dfve,us-east-1,us,nondb,maintwindow-capture-cm1,rebootgroup2-nondb
cm0,dfve,us-east-1,us,nondb,maintwindow-capture-cm0,rebootgroup2-nondb
ac2,dfve,us-east-1,us,db,maintwindow-ajcrm-ac2,rebootgroup1-dbonly
ac2,dfve,us-east-1,us,nondb,maintwindow-ajcrm-ac2,rebootgroup2-nondb
ac0,dfve,us-east-1,us,nondb,maintwindow-ajcrm-ac0,rebootgroup2-nondb
vs3,dfve,eu-west-1,eu,db,maintwindow-dps-vs3,rebootgroup1-dbonly
vs3,dfve,eu-west-1,eu,nondb,maintwindow-dps-vs3,rebootgroup2-nondb
vs3,dfve,eu-central-1,eu,db,maintwindow-dps-vs3,rebootgroup1-dbonly
vs3,dfve,eu-central-1,eu,nondb,maintwindow-dps-vs3,rebootgroup2-nondb
vs1,dfve,us-east-1,us,db,maintwindow-dps-vs1,rebootgroup1-dbonly
vs1,dfve,us-east-1,us,nondb,maintwindow-dps-vs1,rebootgroup2-nondb
ve0,dfve,ap-southeast-2,ap,db,maintwindow-dfve-ve0,rebootgroup1-dbonly
ve0,dfve,ap-southeast-2,ap,nondb,maintwindow-dfve-ve0,rebootgroup2-nondb
ve0,dfve,us-east-1,us,db,maintwindow-dfve-ve0,rebootgroup1-dbonly
ve0,dfve,us-east-1,us,nondb,maintwindow-dfve-ve0,rebootgroup2-nondb
ve0,dfve,us-west-2,us,db,maintwindow-dfve-ve0,rebootgroup1-dbonly
ve0,dfve,us-west-2,us,nondb,maintwindow-dfve-ve0,rebootgroup2-nondb
ve0,dfve,ca-central-1,ca,db,maintwindow-dfve-ve0,rebootgroup1-dbonly
ve0,dfve,ca-central-1,ca,nondb,maintwindow-dfve-ve0,rebootgroup2-nondb
ve1,dfve,us-east-1,us,db,maintwindow-dfve-ve1,rebootgroup1-dbonly
ve1,dfve,us-east-1,us,nondb,maintwindow-dfve-ve1,rebootgroup2-nondb
ve1,dfve,us-west-2,us,db,maintwindow-dfve-ve1,rebootgroup1-dbonly
ve1,dfve,us-west-2,us,nondb,maintwindow-dfve-ve1,rebootgroup2-nondb
ve1,dfve,ca-central-1,ca,db,maintwindow-dfve-ve1,rebootgroup1-dbonly
ve1,dfve,ca-central-1,ca,nondb,maintwindow-dfve-ve1,rebootgroup2-nondb
ve2,dfve,ap-southeast-1,ap,db,maintwindow-dfve-ve2,rebootgroup1-dbonly
ve2,dfve,ap-southeast-1,ap,nondb,maintwindow-dfve-ve2,rebootgroup2-nondb
ve2,dfve,ap-southeast-2,ap,db,maintwindow-dfve-ve2,rebootgroup1-dbonly
ve2,dfve,ap-southeast-2,ap,nondb,maintwindow-dfve-ve2,rebootgroup2-nondb
ve3,dfve,us-east-1,us,db,maintwindow-dfve-ve3,rebootgroup1-dbonly
ve3,dfve,us-east-1,us,nondb,maintwindow-dfve-ve3,rebootgroup2-nondb
ve3,dfve,us-west-2,us,db,maintwindow-dfve-ve3,rebootgroup1-dbonly
ve3,dfve,us-west-2,us,nondb,maintwindow-dfve-ve3,rebootgroup2-nondb
ve4,dfve,us-east-1,us,db,maintwindow-dfve-ve4,rebootgroup1-dbonly
ve4,dfve,us-east-1,us,nondb,maintwindow-dfve-ve4,rebootgroup2-nondb
ve4,dfve,us-west-2,us,db,maintwindow-dfve-ve4,rebootgroup1-dbonly
ve4,dfve,us-west-2,us,nondb,maintwindow-dfve-ve4,rebootgroup2-nondb
ve5,dfve,us-east-1,us,db,maintwindow-dfve-ve5,rebootgroup1-dbonly
ve5,dfve,us-east-1,us,nondb,maintwindow-dfve-ve5,rebootgroup2-nondb
ve5,dfve,us-west-2,us,db,maintwindow-dfve-ve5,rebootgroup1-dbonly
ve5,dfve,us-west-2,us,nondb,maintwindow-dfve-ve5,rebootgroup2-nondb
ve6,dfve,us-east-1,us,db,maintwindow-dfve-ve6,rebootgroup1-dbonly
ve6,dfve,us-east-1,us,nondb,maintwindow-dfve-ve6,rebootgroup2-nondb
ve6,dfve,us-west-2,us,db,maintwindow-dfve-ve6,rebootgroup1-dbonly
ve6,dfve,us-west-2,us,nondb,maintwindow-dfve-ve6,rebootgroup2-nondb
ve7,dfve,us-east-1,us,db,maintwindow-dfve-ve7,rebootgroup1-dbonly
ve7,dfve,us-east-1,us,nondb,maintwindow-dfve-ve7,rebootgroup2-nondb
ve7,dfve,us-west-2,us,db,maintwindow-dfve-ve7,rebootgroup1-dbonly
ve7,dfve,us-west-2,us,nondb,maintwindow-dfve-ve7,rebootgroup2-nondb
ve8,dfve,us-east-1,us,db,maintwindow-dfve-ve8,rebootgroup1-dbonly
ve8,dfve,us-east-1,us,nondb,maintwindow-dfve-ve8,rebootgroup2-nondb
ve8,dfve,us-west-2,us,db,maintwindow-dfve-ve8,rebootgroup1-dbonly
ve8,dfve,us-west-2,us,nondb,maintwindow-dfve-ve8,rebootgroup2-nondb
ve9,dfve,us-east-1,us,db,maintwindow-dfve-ve9,rebootgroup1-dbonly
ve9,dfve,us-east-1,us,nondb,maintwindow-dfve-ve9,rebootgroup2-nondb
ve9,dfve,us-west-2,us,db,maintwindow-dfve-ve9,rebootgroup1-dbonly
